subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s001,1,13,0.0933,0.2368,0.1435,0.1003,0.1717,0.0714,0.1071,0.2359,0.1288,0.0905,0.1555,0.065,0.1001,0.2822,0.1821,0.1218,0.2769,0.1551,0.1049,0.1926,0.0877,0.0921,0.1674,0.0753,0.0985,0.2387,0.1402,0.1054,0.2433,0.1379,0.1138
s001,1,14,0.0969,0.2256,0.1287,0.0753,0.1846,0.1093,0.0882,0.2491,0.1609,0.0643,0.1241,0.0598,0.1206,0.3009,0.1803,0.1434,0.3335,0.1901,0.0752,0.2057,0.1305,0.077,0.1928,0.1158,0.0926,0.2094,0.1168,0.1022,0.2626,0.1604,0.1141
s001,1,15,0.0993,0.2223,0.123,0.0833,0.1658,0.0825,0.0954,0.2325,0.1371,0.0852,0.1739,0.0887,0.1117,0.3266,0.2149,0.1428,0.3408,0.198,0.1048,0.2127,0.1079,0.0888,0.2058,0.117,0.0922,0.2333,0.1411,0.1039,0.2472,0.1433,0.123
s001,1,16,0.0868,0.1942,0.1074,0.1021,0.2045,0.1024,0.1049,0.2554,0.1505,0.0649,0.1379,0.073,0.0952,0.2844,0.1892,0.1265,0.3193,0.1928,0.0844,0.2182,0.1338,0.0701,0.1443,0.0742,0.104,0.2549,0.1509,0.1058,0.251,0.1452,0.1209
s001,1,17,0.0937,0.1923,0.0986,0.0932,0.2052,0.112,0.089,0.2398,0.1508,0.072,0.1548,0.0828,0.0993,0.3135,0.2142,0.1186,0.2889,0.1703,0.0934,0.2217,0.1283,0.0769,0.1749,0.098,0.0942,0.2283,0.1341,0.1074,0.2517,0.1443,0.134
s001,1,18,0.1018,0.1971,0.0953,0.0898,0.1913,0.1015,0.0985,0.2576,0.1591,0.0939,0.1645,0.0706,0.0982,0.3215,0.2233,0.1274,0.284,0.1566,0.0756,0.1928,0.1172,0.0911,0.169,0.0779,0.0916,0.2306,0.139,0.0915,0.2764,0.1849,0.114
s001,1,19,0.0975,0.2314,0.1339,0.0804,0.1681,0.0877,0.0907,0.2478,0.1571,0.0677,0.1496,0.0819,0.119,0.3436,0.2246,0.1274,0.3253,0.1979,0.0868,0.1878,0.101,0.0771,0.1655,0.0884,0.0853,0.2201,0.1348,0.0907,0.2376,0.1469,0.1159
s001,1,20,0.0817,0.2146,0.1329,0.0752,0.1509,0.0757,0.0988,0.2547,0.1559,0.0816,0.1608,0.0792,0.1035,0.3241,0.2206,0.1176,0.2924,0.1748,0.092,0.2183,0.1263,0.0917,0.1808,0.0891,0.0832,0.2004,0.1172,0.0866,0.2234,0.1368,0.127
s002,1,1,0.0873,0.2133,0.126,0.0884,0.1786,0.0902,0.108,0.2623,0.1543,0.0653,0.131,0.0657,0.1233,0.3004,0.1771,0.1254,0.3117,0.1863,0.0931,0.1926,0.0995,0.0772,0.1545,0.0773,0.0904,0.219,0.1286,0.1102,0.2609,0.1507,0.1072
s002,1,2,0.0858,0.1842,0.0984,0.0982,0.1852,0.087,0.1127,0.2873,0.1746,0.0714,0.1542,0.0828,0.1058,0.3066,0.2008,0.1272,0.2931,0.1659,0.0835,0.2141,0.1306,0.0973,0.2064,0.1091,0.1071,0.2215,0.1144,0.0989,0.2477,0.1488,0.1179
s002,1,3,0.0858,0.2233,0.1375,0.0741,0.1669,0.0928,0.1003,0.2655,0.1652,0.0667,0.1228,0.0561,0.119,0.3113,0.1923,0.1315,0.2938,0.1623,0.0885,0.197,0.1085,0.0802,0.167,0.0868,0.104,0.2325,0.1285,0.108,0.2431,0.1351,0.1216
s002,1,4,0.0949,0.2317,0.1368,0.0846,0.1768,0.0922,0.0878,0.2315,0.1437,0.0857,0.1834,0.0977,0.1163,0.3032,0.1869,0.1198,0.3002,0.1804,0.0804,0.1835,0.1031,0.089,0.1938,0.1048,0.0884,0.2212,0.1328,0.0991,0.239,0.1399,0.1249
s002,1,5,0.0973,0.1971,0.0998,0.0896,0.1717,0.0821,0.0926,0.2488,0.1562,0.066,0.1658,0.0998,0.1065,0.3272,0.2207,0.1334,0.3272,0.1938,0.0857,0.2165,0.1308,0.0898,0.1776,0.0878,0.0932,0.2072,0.114,0.0906,0.2311,0.1405,0.1232
s002,1,6,0.0943,0.2337,0.1394,0.0763,0.1763,0.1,0.1126,0.287,0.1744,0.092,0.1463,0.0543,0.1023,0.3135,0.2112,0.1363,0.2952,0.1589,0.0999,0.2079,0.108,0.0969,0.1714,0.0745,0.084,0.239,0.155,0.0991,0.2701,0.171,0.1194
s002,1,7,0.0983,0.2135,0.1152,0.088,0.1693,0.0813,0.1115,0.2565,0.145,0.0828,0.1779,0.0951,0.1172,0.3325,0.2153,0.1193,0.2895,0.1702,0.0796,0.1668,0.0872,0.089,0.1676,0.0786,0.086,0.1942,0.1082,0.1017,0.2701,0.1684,0.1143
s002,1,8,0.0934,0.189,0.0956,0.0924,0.1632,0.0708,0.1165,0.2815,0.165,0.0763,0.1329,0.0566,0.1018,0.3056,0.2038,0.1375,0.2958,0.1583,0.1037,0.1954,0.0917,0.0835,0.1801,0.0966,0.0987,0.2206,0.1219,0.0904,0.2547,0.1643,0.1214
s002,1,9,0.1059,0.2471,0.1412,0.088,0.1685,0.0805,0.1032,0.2517,0.1485,0.0842,0.1512,0.067,0.1249,0.3412,0.2163,0.1326,0.3196,0.187,0.0969,0.2062,0.1093,0.0822,0.1934,0.1112,0.0786,0.2209,0.1423,0.115,0.2704,0.1554,0.1332
s002,1,10,0.0963,0.2248,0.1285,0.0947,0.2005,0.1058,0.1131,0.2876,0.1745,0.0883,0.1401,0.0518,0.1189,0.3345,0.2156,0.1351,0.34,0.2049,0.0887,0.2034,0.1147,0.0972,0.1837,0.0865,0.1013,0.2403,0.139,0.0869,0.238,0.1511,0.1051
s002,1,11,0.1029,0.233,0.1301,0.0881,0.1641,0.076,0.1079,0.2679,0.16,0.0713,0.1645,0.0932,0.1219,0.3429,0.221,0.1272,0.2932,0.166,0.1015,0.2353,0.1338,0.0897,0.1921,0.1024,0.0942,0.2169,0.1227,0.0951,0.2639,0.1688,0.1107
s002,1,12,0.1017,0.2365,0.1348,0.0785,0.1693,0.0908,0.0973,0.2666,0.1693,0.067,0.1464,0.0794,0.1095,0.3307,0.2212,0.1312,0.316,0.1848,0.1023,0.2186,0.1163,0.0909,0.2078,0.1169,0.0942,0.2178,0.1236,0.1074,0.2783,0.1709,0.1134
